Simbolo,N,Volumen_acum,Volumen,Tipo_Vela,Cantidad_FVGs,N_FVGs_Falta,%_Cumplimiento_FVG,Ultimo_FVG_Falta,Rupt_Mechas_Alcistas,Rupt_Mechas_Bajistas,Rupt_Velas_Alcistas,Rupt_Velas_Bajistas,Iteraciones,Min_Low,Max_High,Precio_Actual,Porcentaje_Alcista,Porcentaje_Bajista,Diferencia_Porcentajes,Total_Swing_Alcistas,Total_Swing_Bajistas,Fecha_Ultimo_Swing_Alcista,Precio_Ultimo_Swing_Alcista,Fecha_Ultimo_Swing_Bajista,Precio_Ultimo_Swing_Bajista,Tendencia_MM,DuracionTrendMM_Close_SMA_200,Tendencia_PullBack,DuracionTrendMM_Close_EMA_20,%K,%D,Duracion_Estocastico,Estocastico_Senal
BTCUSDT,480,61949.05214,39.29443,"['N/A', 'N/A', 'N/A']",109,6,94.5,"[('Alcista', 16), ('Alcista', 17), ('Alcista', 18)]",0,0,0,0,8,115100.0,117090.36,115465.4,2.11,0.94,1.171952810105895,100,103,2025-09-19 14:59:59.999,115282.44,2025-09-19 14:59:59.999,115445.23,Bajista,51,Bajista,51,67.07910340902777,64.10943647923473,6.0,Neutro
ETHUSDT,480,1807416.2046000003,832.501,"['N/A', 'Cuerpo_Lleno', 'Martillo']",100,7,93.0,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 18)]",0,0,0,0,16,4435.7,4554.1,4471.71,4.44,1.34,3.105299762283325,110,102,2025-09-19 15:14:59.999,4450.39,2025-09-19 14:59:59.999,4464.44,Bajista,68,Alcista,2,99.37350835322187,96.19432922961646,4.0,Sobre-compra
BNBUSDT,480,1553160.1569999997,1071.727,"['N/A', 'N/A', 'Doji']",105,8,92.38,"[('Bajista', 1), ('Alcista', 28), ('Alcista', 29)]",0,0,0,0,27,973.9,1002.99,982.88,2.44,7.35,4.908025394758263,100,105,2025-09-19 15:14:59.999,979.08,2025-09-19 14:44:59.999,981.92,Bajista,29,Alcista,3,83.0434782608701,91.94401973031198,3.0,Sobre-compra
NEOUSDT,480,2231249.6,732.15,"['N/A', 'N/A', 'N/A']",103,4,96.12,"[('Bajista', 1), ('Alcista', 18), ('Alcista', 28)]",0,3,0,0,9,6.593,6.811,6.61,4.24,2.87,1.361573373676232,106,96,2025-09-19 15:14:59.999,6.57,2025-09-19 15:44:59.999,6.616,Bajista,44,Bajista,31,52.63157894736873,46.49122807017562,4.0,Neutro
LTCUSDT,480,2285305.0039999997,463.579,"['N/A', 'N/A', 'N/A']",113,7,93.81,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 15)]",0,1,0,0,9,113.82,117.8,114.27,4.55,2.06,2.494092937778952,92,88,2025-09-19 15:14:59.999,113.61,2025-09-19 13:29:59.999,114.61,Bajista,44,Bajista,31,65.99999999999966,56.5922330097085,3.0,Neutro
QTUMUSDT,480,3908945.3,390.7,"['N/A', 'N/A', 'Doji']",117,8,93.16,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 27)]",0,0,0,0,16,2.39,2.463,2.406,5.69,0.83,4.86284289276808,84,85,2025-09-19 15:14:59.999,2.392,2025-09-19 14:44:59.999,2.406,Bajista,51,Alcista,1,60.86956521739197,53.681159420290065,10.0,Neutro
ADAUSDT,480,698365305.8,415126.6,"['N/A', 'N/A', 'N/A']",92,4,95.65,"[('Alcista', 18), ('Alcista', 62), ('Bajista', 193)]",0,1,0,0,16,0.8911,0.9231,0.897,4.64,4.97,0.3344481605351177,106,96,2025-09-19 15:14:59.999,0.89,2025-09-19 14:44:59.999,0.8988,Bajista,50,Alcista,1,76.08695652173931,63.043478260869556,4.0,Neutro
XRPUSDT,480,549082337.4,269960.3,"['N/A', 'N/A', 'N/A']",105,6,94.29,"[('Alcista', 8), ('Alcista', 28), ('Alcista', 29)]",0,1,0,0,8,2.9835,3.0536,2.9956,4.81,1.42,3.3949793029776894,103,100,2025-09-19 15:14:59.999,2.9784,2025-09-19 15:44:59.999,2.9962,Bajista,75,Bajista,32,52.92307692307696,46.87179487179486,4.0,Neutro
TUSDUSDT,480,2754961.0,524.0,"['Plana', 'Cuerpo_Lleno', 'Cuerpo_Lleno']",42,0,100.0,[],0,0,0,0,46,0.9955,0.9971,0.9965,0.12,0.15,0.030105368790775522,16,28,2025-09-19 09:14:59.999,0.9963,2025-09-19 09:59:59.999,0.9969,Alcista,46,Bajista,13,0.0,0.0,12.0,Sobre-venta
IOTAUSDT,480,63075083.0,261612.0,"['N/A', 'N/A', 'N/A']",96,5,94.79,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 18)]",0,0,0,0,9,0.186,0.1941,0.1883,5.15,2.23,2.9208709506107446,88,82,2025-09-19 15:14:59.999,0.1861,2025-09-19 13:29:59.999,0.1875,Bajista,51,Alcista,2,100.0,79.9999999999999,1.0,Sobre-compra-K
