Simbolo,N,Tipo_Vela,Cantidad_FVGs,N_FVGs_Falta,%_Cumplimiento_FVG,Ultimo_FVG_Falta,Rupt_Mechas_Alcistas,Rupt_Mechas_Bajistas,Rupt_Velas_Alcistas,Rupt_Velas_Bajistas,Iteraciones,Min_Low,Max_High,Precio_Actual,Porcentaje_Alcista,Porcentaje_Bajista,Diferencia_Porcentajes,Total_Swing_Alcistas,Total_Swing_Bajistas,Fecha_Ultimo_Swing_Alcista,Precio_Ultimo_Swing_Alcista,Fecha_Ultimo_Swing_Bajista,Precio_Ultimo_Swing_Bajista,Tendencia_MM,DuracionTrendMM_Close_SMA_200,Tendencia_PullBack,DuracionTrendMM_Close_EMA_20,%K,%D,Duracion_Estocastico,Estocastico_Senal
BTCUSDT,490,"['N/A', 'N/A', 'N/A']",108,7,93.52,"[('Bajista', 7), ('Bajista', 86), ('Bajista', 134)]",0,0,0,0,18,107255.0,124474.0,116666.47,6.69,58.0,51.3077493473489,115,114,2025-09-17 17:59:59.999,114720.81,2025-09-17 17:59:59.999,117286.73,Alcista,150,Alcista,9,91.51459766639815,92.89112685837426,9.0,Sobre-compra
ETHUSDT,490,"['N/A', 'N/A', 'N/A']",101,7,93.07,"[('Bajista', 0), ('Bajista', 40), ('Bajista', 41)]",0,0,0,0,26,2932.46,4956.78,4616.5,7.37,70.0,62.626881836889424,111,120,2025-09-17 17:59:59.999,4412.0,2025-09-13 17:59:59.999,4769.36,Alcista,76,Alcista,9,71.3401829908505,62.51687415629221,4.0,Neutro
BNBUSDT,490,"['N/A', 'N/A', 'N/A']",97,12,87.63,"[('Bajista', 0), ('Bajista', 1), ('Bajista', 7)]",0,0,7,0,9,675.3,907.38,988.14,0.74,59.52,58.781144372254936,114,115,2025-09-15 17:59:59.999,910.64,2025-09-17 17:59:59.999,995.44,Alcista,84,Alcista,14,95.2356089283383,96.28552458558966,12.0,Sobre-compra
NEOUSDT,490,"['N/A', 'N/A', 'N/A']",96,3,96.88,"[('Bajista', 0), ('Bajista', 28), ('Alcista', 242)]",0,0,0,0,25,5.53,8.56,6.769,287.21,36.33,250.87900723888316,117,101,2025-09-15 17:59:59.999,6.42,2025-09-17 17:59:59.999,6.821,Alcista,12,Alcista,2,66.72413793103456,64.17852511147831,5.0,Neutro
LTCUSDT,490,"['N/A', 'N/A', 'N/A']",94,2,97.87,"[('Bajista', 0), ('Bajista', 70)]",0,0,0,0,37,91.2,134.19,117.32,25.35,57.55,32.202523013978855,120,119,2025-09-15 17:59:59.999,111.92,2025-09-13 17:59:59.999,120.83,Alcista,64,Alcista,3,65.00498504486536,60.0031327025103,4.0,Neutro
QTUMUSDT,490,"['N/A', 'N/A', 'N/A']",104,3,97.12,"[('Bajista', 0), ('Alcista', 3), ('Bajista', 28)]",0,0,0,0,26,1.958,3.489,2.476,131.91,36.55,95.35541195476574,109,109,2025-09-17 17:59:59.999,2.386,2025-09-17 17:59:59.999,2.486,Alcista,29,Bajista,10,20.454545454545425,16.186554082923337,10.0,Sobre-venta-D
ADAUSDT,490,"['N/A', 'N/A', 'N/A']",99,7,92.93,"[('Bajista', 0), ('Bajista', 69), ('Bajista', 70)]",0,0,0,0,36,0.6842,1.0193,0.914,45.12,69.85,24.726477024070036,116,111,2025-09-15 17:59:59.999,0.8524,2025-09-17 17:59:59.999,0.9197,Alcista,44,Alcista,3,73.2262382864793,65.99835419765073,4.0,Neutro
XRPUSDT,490,"['N/A', 'N/A', 'N/A']",93,14,84.95,"[('Bajista', 0), ('Bajista', 9), ('Bajista', 10)]",0,0,0,0,18,2.6975,3.6607,3.0887,18.52,87.62,69.10350632952375,117,115,2025-09-15 17:59:59.999,2.9532,2025-09-17 17:59:59.999,3.1079,Alcista,72,Alcista,11,76.1893084845512,71.63642308321067,4.0,Neutro
TUSDUSDT,490,"['N/A', 'N/A', 'N/A']",27,1,96.3,"[('Alcista', 0)]",0,0,0,0,21,0.995,0.9996,0.9957,22.53,8.54,13.990157678015454,73,109,2025-09-17 17:59:59.999,0.995,2025-09-16 17:59:59.999,0.9977,Bajista,24,Bajista,2,25.92592592592684,50.6172839506165,4.0,Neutro
IOTAUSDT,490,"['N/A', 'N/A', 'Doji']",107,7,93.46,"[('Bajista', 0), ('Alcista', 3), ('Alcista', 57)]",0,0,0,0,48,0.1718,0.2568,0.1941,226.02,48.07,177.94951056156623,107,102,2025-09-15 17:59:59.999,0.1841,2025-09-17 17:59:59.999,0.1955,Alcista,2,Alcista,2,58.36909871244632,50.78683834048642,4.0,Neutro
XLMUSDT,490,"['N/A', 'N/A', 'N/A']",95,7,92.63,"[('Bajista', 0), ('Bajista', 70), ('Bajista', 305)]",0,0,0,0,18,0.3442,0.5206,0.3969,60.59,80.93,20.33257747543462,110,103,2025-09-15 17:59:59.999,0.3739,2025-09-17 17:59:59.999,0.3985,Alcista,70,Alcista,3,72.64150943396221,65.04192872117399,4.0,Neutro
ONTUSDT,490,"['N/A', 'N/A', 'N/A']",107,1,99.07,"[('Bajista', 0)]",0,0,0,0,25,0.1258,0.229,0.1418,179.76,25.81,153.94922425952046,113,101,2025-09-15 17:59:59.999,0.1339,2025-09-17 17:59:59.999,0.1434,Bajista,1,Bajista,1,53.01204819277109,47.65095886504594,8.0,Neutro
TRXUSDT,490,"['N/A', 'N/A', 'N/A']",118,14,88.14,"[('Bajista', 69), ('Bajista', 70), ('Bajista', 73)]",0,0,0,0,36,0.2954,0.37,0.3436,30.97,67.89,36.9266589057043,107,112,2025-09-17 17:59:59.999,0.3387,2025-09-13 17:59:59.999,0.3547,Alcista,290,Alcista,9,80.52631578947368,79.59064327485378,8.0,Sobre-compra-K
ETCUSDT,490,"['N/A', 'N/A', 'Doji']",105,5,95.24,"[('Bajista', 0), ('Alcista', 3), ('Alcista', 24)]",0,0,0,0,62,17.81,25.93,20.92,91.06,39.29,51.76864244741871,116,104,2025-09-09 17:59:59.999,20.33,2025-09-17 17:59:59.999,21.03,Alcista,65,Bajista,5,35.222672064777385,30.391684339052773,3.0,Neutro
ICXUSDT,490,"['N/A', 'N/A', 'N/A']",105,5,95.24,"[('Bajista', 0), ('Alcista', 3), ('Bajista', 154)]",0,0,0,0,28,0.1211,0.1597,0.1321,123.24,99.85,23.39137017411052,108,103,2025-09-16 17:59:59.999,0.126,2025-09-17 17:59:59.999,0.1327,Alcista,72,Alcista,2,55.223880597014876,47.263681592039795,4.0,Neutro
VETUSDT,490,"['N/A', 'N/A', 'N/A']",109,2,98.17,"[('Bajista', 0), ('Alcista', 228)]",0,0,0,0,48,0.0217,0.02955,0.02526,216.71,29.89,186.81710213776717,109,99,2025-09-16 17:59:59.999,0.0238,2025-09-17 17:59:59.999,0.02549,Alcista,2,Alcista,3,76.04166666666669,68.4258490217793,4.0,Neutro
USDCUSDT,490,"['N/A', 'N/A', 'N/A']",18,0,100.0,[],0,1,0,0,49,0.999,1.0005,0.9994,0.57,0.23,0.3402041224735022,73,92,2025-09-16 17:59:59.999,0.9993,2025-08-30 17:59:59.999,1.0,Bajista,9,Bajista,3,53.84615384614925,58.97435897435963,9.0,Neutro
LINKUSDT,490,"['N/A', 'N/A', 'N/A']",109,6,94.5,"[('Bajista', 0), ('Bajista', 40), ('Bajista', 41)]",0,0,0,0,28,15.14,27.87,24.01,28.86,66.35,37.48438150770512,114,106,2025-09-17 17:59:59.999,22.75,2025-09-17 17:59:59.999,24.24,Alcista,47,Alcista,2,56.76392572944299,51.90097259062776,5.0,Neutro
ONGUSDT,490,"['N/A', 'N/A', 'N/A']",92,3,96.74,"[('Bajista', 0), ('Alcista', 21), ('Alcista', 22)]",0,0,0,0,18,0.1588,0.2321,0.1697,225.16,15.14,210.01767825574547,110,110,2025-09-15 17:59:59.999,0.1628,2025-09-17 17:59:59.999,0.171,Bajista,243,Bajista,1,64.96350364963503,61.700797512841326,4.0,Neutro
HOTUSDT,490,"['N/A', 'N/A', 'N/A']",106,4,96.23,"[('Bajista', 0), ('Alcista', 3), ('Bajista', 70)]",0,0,0,0,48,0.000886,0.00135,0.000983,315.56,26.65,288.91149542217704,108,107,2025-09-16 17:59:59.999,0.000927,2025-09-17 17:59:59.999,0.000987,Bajista,230,Alcista,2,62.06896551724136,57.75632183908049,4.0,Neutro
ZILUSDT,490,"['N/A', 'N/A', 'N/A']",100,2,98.0,"[('Alcista', 228), ('Alcista', 274)]",0,0,0,0,48,0.01018,0.01395,0.01197,215.04,23.22,191.812865497076,108,108,2025-09-16 17:59:59.999,0.01121,2025-09-17 17:59:59.999,0.01206,Alcista,2,Alcista,3,72.26277372262773,68.83644968836448,4.0,Neutro
