Simbolo,N,Volumen_acum,Volumen,Tipo_Vela,Cantidad_FVGs,N_FVGs_Falta,%_Cumplimiento_FVG,Ultimo_FVG_Falta,Rupt_Mechas_Alcistas,Rupt_Mechas_Bajistas,Rupt_Velas_Alcistas,Rupt_Velas_Bajistas,Iteraciones,Min_Low,Max_High,Precio_Actual,Porcentaje_Alcista,Porcentaje_Bajista,Diferencia_Porcentajes,Total_Swing_Alcistas,Total_Swing_Bajistas,Fecha_Ultimo_Swing_Alcista,Precio_Ultimo_Swing_Alcista,Fecha_Ultimo_Swing_Bajista,Precio_Ultimo_Swing_Bajista,Tendencia_MM,DuracionTrendMM_Close_SMA_200,Tendencia_PullBack,DuracionTrendMM_Close_EMA_20,%K,%D,Duracion_Estocastico,Estocastico_Senal
BTCUSDT,480,53200.77354,7.54161,"['N/A', 'N/A', 'N/A', 'N/A', 'Estrella_Fug']",120,8,93.33,"[('Bajista', 0), ('Alcista', 6), ('Alcista', 8)]",0,0,0,0,18,115408.47,116121.81,115770.49,1.84,0.91,0.9327333761824688,98,103,2025-09-20 12:29:59.999,115700.0,2025-09-20 13:29:59.999,115812.62,Bajista,138,Bajista,11,18.5763980393201,15.797888227129201,11.0,Sobre-venta
ETHUSDT,480,1533700.8081,149.5188,"['Hang_Man', 'N/A', 'N/A', 'N/A', 'Estrella_Fug']",99,3,96.97,"[('Dentro', 0), ('Alcista', 115), ('Alcista', 160)]",0,0,0,0,13,4456.43,4508.71,4481.25,3.64,1.55,2.096959553695961,115,107,2025-09-20 13:14:59.999,4471.74,2025-09-20 13:29:59.999,4485.2,Bajista,155,Bajista,5,29.062257814518183,25.876173254111904,2.0,Neutro
BNBUSDT,480,1691172.3136,366.359,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",106,8,92.45,"[('Bajista', 18), ('Bajista', 19), ('Bajista', 20)]",0,0,0,0,9,987.73,1029.12,1022.84,0.61,10.38,9.766923467991104,99,111,2025-09-20 13:14:59.999,1020.55,2025-09-20 13:29:59.999,1024.86,Alcista,66,Alcista,39,40.977443609023176,46.14661654135397,6.0,Neutro
NEOUSDT,480,2044917.87,44.1,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",105,5,95.24,"[('Dentro', 0), ('Bajista', 1), ('Alcista', 5)]",0,0,0,0,18,6.565,6.707,6.64,3.77,3.0,0.768072289156629,108,101,2025-09-20 12:59:59.999,6.614,2025-09-20 13:29:59.999,6.645,Bajista,14,Bajista,8,31.70731707317055,27.598091198303354,2.0,Neutro
LTCUSDT,480,2047156.065,222.836,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",120,6,95.0,"[('Dentro', 0), ('Bajista', 1), ('Alcista', 9)]",0,0,0,0,34,113.4,115.31,113.96,4.84,1.72,3.115128115128126,94,84,2025-09-20 13:14:59.999,113.63,2025-09-20 13:29:59.999,114.08,Bajista,131,Bajista,8,31.42857142857093,26.878306878306745,1.0,Neutro
QTUMUSDT,480,3037218.2,4296.0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",131,5,96.18,"[('Alcista', 5), ('Alcista', 6), ('Alcista', 115)]",0,0,0,0,23,2.381,2.42,2.391,4.68,0.63,4.056879966541194,81,79,2025-09-20 11:29:59.999,2.396,2025-09-20 13:29:59.999,2.393,Bajista,138,Bajista,11,16.00000000000007,16.000000000000075,7.0,Sobre-venta
ADAUSDT,480,600642952.7,90150.0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",101,4,96.04,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 149)]",0,0,0,0,34,0.8871,0.9065,0.8929,5.12,4.47,0.6495688206965973,109,93,2025-09-20 13:14:59.999,0.8899,2025-09-20 13:29:59.999,0.8943,Bajista,137,Bajista,11,28.301886792453008,23.01420917773116,1.0,Neutro
XRPUSDT,480,484361398.3000001,124303.5,"['N/A', 'N/A', 'N/A', 'Martillo_Inv', 'N/A']",111,8,92.79,"[('Alcista', 6), ('Alcista', 43), ('Alcista', 44)]",0,0,0,0,22,2.9652,3.0091,2.9776,5.44,0.45,4.993954862976905,98,97,2025-09-20 12:59:59.999,2.971,2025-09-20 13:29:59.999,2.9816,Bajista,162,Bajista,9,30.697674418603228,33.77995875115486,3.0,Neutro
TUSDUSDT,480,2513667.0,0.0,"['Cuerpo_Lleno', 'N/A', 'Cuerpo_Lleno', 'Cuerpo_Lleno', 'Plana']",43,0,100.0,[],0,0,0,0,38,0.9963,0.9968,0.9967,0.1,0.17,0.07023176482392231,16,23,2025-09-20 02:14:59.999,0.9963,2025-09-19 22:14:59.999,0.9965,Alcista,18,Alcista,6,75.00000000000693,75.00000000000693,7.0,Neutro
IOTAUSDT,480,53718635.0,23466.0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",101,4,96.04,"[('Bajista', 0), ('Alcista', 9), ('Alcista', 115)]",0,0,0,0,19,0.1856,0.1897,0.1878,5.43,1.92,3.514376996805124,90,82,2025-09-20 12:59:59.999,0.1869,2025-09-20 12:29:59.999,0.1879,Bajista,138,Bajista,9,35.99999999999933,33.333333333332966,2.0,Neutro
XLMUSDT,480,268095279.0,41143.0,"['Hang_Man', 'N/A', 'N/A', 'N/A', 'N/A']",122,5,95.9,"[('Bajista', 1), ('Alcista', 9), ('Alcista', 44)]",0,5,0,0,22,0.386,0.3939,0.3867,4.65,3.15,1.4998707008016616,92,80,2025-09-20 12:44:59.999,0.3852,2025-09-20 13:29:59.999,0.3873,Bajista,138,Bajista,11,27.27272727272727,25.011307100859412,2.0,Neutro
ONTUSDT,480,19653937.0,6478.0,"['N/A', 'Cuerpo_Lleno', 'N/A', 'Cuerpo_Lleno', 'N/A']",115,5,95.65,"[('Dentro', 0), ('Bajista', 1), ('Alcista', 5)]",0,0,0,0,18,0.135,0.1382,0.1371,4.96,1.82,3.1363967906637478,87,75,2025-09-20 13:14:59.999,0.1366,2025-09-20 12:29:59.999,0.1375,Bajista,138,Bajista,1,33.33333333333333,29.861111111110898,2.0,Neutro
TRXUSDT,480,1513981899.9,408067.6,"['N/A', 'N/A', 'N/A', 'N/A', 'Doji']",90,7,92.22,"[('Bajista', 59), ('Bajista', 60), ('Bajista', 61)]",0,0,0,0,13,0.3444,0.3482,0.3476,1.44,2.56,1.1219792865362526,56,68,2025-09-20 12:59:59.999,0.347,2025-09-20 10:14:59.999,0.3477,Alcista,20,Alcista,2,50.00000000000231,41.666666666667055,3.0,Neutro
ETCUSDT,480,3596012.5500000003,304.1,"['N/A', 'N/A', 'Martillo', 'N/A', 'N/A']",88,5,94.32,"[('Dentro', 0), ('Alcista', 5), ('Alcista', 9)]",0,0,0,0,18,20.16,20.46,20.25,4.64,1.09,3.555555555555568,78,73,2025-09-20 13:14:59.999,20.2,2025-09-20 13:29:59.999,20.27,Bajista,151,Bajista,8,25.000000000000444,23.3333333333335,1.0,Neutro
ICXUSDT,480,11848020.5,2068.2,"['N/A', 'N/A', 'Martillo', 'Cuerpo_Lleno', 'Plana']",121,4,96.69,"[('Dentro', 0), ('Bajista', 1), ('Alcista', 115)]",0,0,0,0,19,0.1272,0.1296,0.1286,4.67,2.02,2.6438569206843034,71,67,2025-09-20 13:14:59.999,0.1279,2025-09-20 10:44:59.999,0.1292,Bajista,137,Alcista,2,53.84615384615237,41.02564102564019,2.0,Neutro
VETUSDT,480,1604298729.1,428490.7,"['N/A', 'Hang_Man', 'N/A', 'N/A', 'Cuerpo_Lleno']",97,7,92.78,"[('Dentro', 0), ('Bajista', 20), ('Alcista', 116)]",0,0,0,0,18,0.02457,0.0252,0.02484,6.16,4.19,1.9726247987117587,87,88,2025-09-20 13:14:59.999,0.02475,2025-09-20 13:29:59.999,0.02487,Bajista,119,Bajista,7,29.032258064516274,26.88172043010738,2.0,Neutro
USDCUSDT,480,20502282932.0,1933342.0,"['N/A', 'N/A', 'Cuerpo_Lleno', 'N/A', 'N/A']",0,0,0.0,[],0,0,0,0,47,0.9993,0.9995,0.9994,0.04,0.01,0.030018010806491698,3,1,2025-09-17 11:59:59.999,0.9994,2025-09-17 12:59:59.999,0.9996,Bajista,26,Alcista,1,100.0,33.333333333333336,1.0,Sobre-compra-K
LINKUSDT,480,17527231.130000003,1413.95,"['N/A', 'Hang_Man', 'N/A', 'N/A', 'N/A']",81,7,91.36,"[('Bajista', 0), ('Bajista', 20), ('Alcista', 128)]",0,0,0,0,23,23.09,23.59,23.31,6.78,2.4,4.37580437580439,98,84,2025-09-20 11:29:59.999,23.32,2025-09-20 13:29:59.999,23.34,Bajista,130,Bajista,7,29.629629629629044,24.691358024690867,1.0,Neutro
ONGUSDT,480,28969617.0,16877.0,"['N/A', 'N/A', 'Martillo', 'N/A', 'N/A']",56,2,96.43,"[('Bajista', 0), ('Alcista', 160)]",0,0,0,0,18,0.1642,0.1668,0.1651,4.42,0.97,3.452453058752278,71,66,2025-09-20 13:14:59.999,0.1646,2025-09-20 09:29:59.999,0.1668,Bajista,138,Bajista,8,27.777777777777864,20.925925925926062,1.0,Neutro
HOTUSDT,480,4383982079.0,2016670.0,"['N/A', 'N/A', 'N/A', 'N/A', 'Estrella_Fug']",89,2,97.75,"[('Alcista', 136), ('Alcista', 160)]",0,0,0,0,45,0.000939,0.000967,0.000947,5.28,2.11,3.167898627243925,74,60,2025-09-20 12:44:59.999,0.000942,2025-09-20 12:29:59.999,0.00095,Bajista,138,Bajista,9,31.25000000000017,27.08333333333319,2.0,Neutro
ZILUSDT,480,542769083.6,14451.0,"['N/A', 'N/A', 'N/A', 'N/A', 'Cuerpo_Lleno']",86,3,96.51,"[('Bajista', 29), ('Bajista', 30), ('Bajista', 289)]",0,0,0,0,18,0.01191,0.01221,0.01207,2.65,7.13,4.473902236951137,73,70,2025-09-20 13:14:59.999,0.01204,2025-09-20 13:29:59.999,0.01208,Alcista,30,Bajista,5,21.42857142857187,13.025210084033532,5.0,Sobre-venta-D
ZRXUSDT,480,23586632.0,36486.0,"['N/A', 'Doji', 'N/A', 'Cuerpo_Lleno', 'Cuerpo_Lleno']",119,3,97.48,"[('Alcista', 6), ('Alcista', 160), ('Alcista', 165)]",0,0,0,0,19,0.258,0.2631,0.2586,6.19,0.62,5.56844547563806,88,92,2025-09-20 13:14:59.999,0.2582,2025-09-20 13:29:59.999,0.2589,Bajista,154,Bajista,11,10.000000000000279,10.476190476191055,8.0,Sobre-venta
FETUSDT,480,102854405.5,14209.9,"['N/A', 'Cuerpo_Lleno', 'N/A', 'Doji', 'Doji']",45,0,100.0,[],0,0,0,0,19,0.639,0.656,0.644,6.21,2.64,3.5714285714285747,63,49,2025-09-20 12:44:59.999,0.639,2025-09-20 10:44:59.999,0.65,Bajista,131,Bajista,11,45.45454545454545,40.15151515151518,3.0,Neutro
BATUSDT,480,16187595.0,8837.0,"['N/A', 'N/A', 'Hang_Man', 'N/A', 'N/A']",115,3,97.39,"[('Dentro', 0), ('Bajista', 20), ('Alcista', 115)]",0,0,0,0,15,0.1551,0.1581,0.1564,4.54,2.94,1.598465473145764,76,78,2025-09-20 13:14:59.999,0.1559,2025-09-20 11:44:59.999,0.1573,Bajista,131,Bajista,5,22.727272727272958,19.69696969696982,5.0,Sobre-venta-D
ZECUSDT,480,265835.353,30.728,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",104,6,94.23,"[('Bajista', 0), ('Bajista', 1), ('Bajista', 55)]",0,0,0,0,45,48.79,51.29,50.5,5.82,4.59,1.2277227722772226,107,103,2025-09-20 13:14:59.999,50.05,2025-09-20 12:44:59.999,50.44,Alcista,55,Alcista,3,95.89041095890397,84.90464679022318,2.0,Sobre-compra
IOSTUSDT,480,997339052.0,27064.0,"['N/A', 'N/A', 'N/A', 'Cuerpo_Lleno', 'Cuerpo_Lleno']",133,3,97.74,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 160)]",0,0,0,0,19,0.003319,0.003391,0.003362,3.6,3.42,0.17846519928613747,98,98,2025-09-20 13:14:59.999,0.003348,2025-09-20 12:29:59.999,0.003367,Bajista,11,Alcista,2,42.42424242424274,33.18903318903318,2.0,Neutro
