Simbolo,N,Volumen_acum,Volumen,Tipo_Vela,Cantidad_FVGs,N_FVGs_Falta,%_Cumplimiento_FVG,Ultimo_FVG_Falta,Rupt_Mechas_Alcistas,Rupt_Mechas_Bajistas,Rupt_Velas_Alcistas,Rupt_Velas_Bajistas,Iteraciones,Min_Low,Max_High,Precio_Actual,Porcentaje_Alcista,Porcentaje_Bajista,Diferencia_Porcentajes,Total_Swing_Alcistas,Total_Swing_Bajistas,Fecha_Ultimo_Swing_Alcista,Precio_Ultimo_Swing_Alcista,Fecha_Ultimo_Swing_Bajista,Precio_Ultimo_Swing_Bajista,Tendencia_MM,DuracionTrendMM_Close_SMA_200,Tendencia_PullBack,DuracionTrendMM_Close_EMA_20,%K,%D,Duracion_Estocastico,Estocastico_Senal
BTCUSDT,490,12328525.971208999,10774.70524,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",109,7,93.58,"[('Alcista', 2), ('Bajista', 92), ('Bajista', 140)]",0,0,0,0,24,107255.0,124474.0,113667.99,9.51,56.89,47.38535448722196,114,113,2025-09-19 17:59:59.999,115100.0,2025-09-18 17:59:59.999,117900.0,Alcista,156,Bajista,3,38.28496180734808,26.729080307712024,1.0,Neutro
ETHUSDT,490,244820174.33538002,302746.8877,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",102,8,92.16,"[('Alcista', 1), ('Alcista', 4), ('Bajista', 46)]",0,0,0,0,32,3354.28,4956.78,4176.94,18.67,66.84,48.17043098536248,111,118,2025-09-22 17:59:59.999,4077.0,2025-09-18 17:59:59.999,4644.47,Alcista,82,Bajista,4,14.835686150484436,15.023800558066824,3.0,Sobre-venta
BNBUSDT,490,156226516.237,334563.649,"['N/A', 'N/A', 'N/A', 'N/A', 'Doji']",96,11,88.54,"[('Bajista', 7), ('Bajista', 13), ('Bajista', 16)]",2,0,5,0,8,730.01,995.44,1015.43,6.7,60.61,53.90721172311237,114,115,2025-09-23 17:59:59.999,962.38,2025-09-21 17:59:59.999,1083.47,Alcista,90,Alcista,20,65.12378902045207,63.24210946307435,3.0,Neutro
NEOUSDT,490,376906669.16,403889.26,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",97,2,97.94,"[('Alcista', 2), ('Alcista', 248)]",0,0,0,0,31,5.53,8.56,6.012,335.96,28.31,307.65136393878913,116,99,2025-09-22 17:59:59.999,5.71,2025-09-19 17:59:59.999,6.89,Bajista,3,Bajista,6,24.121405750798694,21.405750798722078,1.0,Neutro
LTCUSDT,490,335013604.902,369816.74,"['N/A', 'N/A', 'N/A', 'Doji', 'N/A']",93,1,98.92,"[('Bajista', 76)]",0,1,0,0,43,103.16,134.19,106.44,38.16,53.21,15.050732807215326,120,119,2025-09-22 17:59:59.999,102.2,2025-09-21 17:59:59.999,116.27,Alcista,70,Bajista,6,22.758990874932884,20.683485417784922,2.0,Neutro
QTUMUSDT,490,551800903.1,991468.6,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",106,3,97.17,"[('Alcista', 2), ('Alcista', 4), ('Alcista', 9)]",0,0,0,0,32,1.958,3.489,2.247,155.54,30.08,125.45616377392079,109,108,2025-09-22 17:59:59.999,2.084,2025-09-18 17:59:59.999,2.503,Alcista,1,Bajista,16,27.768313458262334,17.93734141274735,16.0,Sobre-venta-D
ADAUSDT,490,89058378511.79999,82922670.8,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",97,6,93.81,"[('Bajista', 75), ('Bajista', 76), ('Bajista', 318)]",0,0,0,0,42,0.6842,1.0193,0.824,60.97,66.55,5.5825242718446475,116,110,2025-09-22 17:59:59.999,0.7873,2025-09-18 17:59:59.999,0.9386,Alcista,50,Bajista,3,22.015596880623853,18.736252749450117,2.0,Sobre-venta-D
XRPUSDT,490,152381227432.49,88341549.0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",93,11,88.17,"[('Bajista', 74), ('Bajista', 75), ('Bajista', 76)]",0,0,0,0,24,2.6975,3.6495,2.9517,24.02,87.05,63.028085510045074,116,114,2025-09-22 17:59:59.999,2.6975,2025-09-21 17:59:59.999,3.0135,Alcista,78,Bajista,6,52.05816096661895,36.623660318110474,10.0,Neutro
TUSDUSDT,490,634323667.0,285530.0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A']",27,0,100.0,[],1,0,0,0,27,0.995,0.9996,0.9987,22.16,8.81,13.34735155702412,73,109,2025-09-17 17:59:59.999,0.995,2025-09-22 17:59:59.999,1.001,Alcista,2,Alcista,5,61.66666666666837,52.222222222223536,3.0,Neutro
IOTAUSDT,490,17697132513.75,10880022.0,"['Doji', 'N/A', 'N/A', 'N/A', 'N/A']",108,5,95.37,"[('Alcista', 63), ('Alcista', 248), ('Bajista', 318)]",0,0,0,3,54,0.1718,0.2504,0.1717,268.55,41.29,227.25684333139202,106,102,2025-09-22 17:59:59.999,0.158,2025-09-22 17:59:59.999,0.1928,Bajista,6,Bajista,6,29.91266375545849,28.23871906841339,1.0,Neutro
