Simbolo,N,Tipo_Vela,Cantidad_FVGs,N_FVGs_Falta,%_Cumplimiento_FVG,Ultimo_FVG_Falta,Rupt_Mechas_Alcistas,Rupt_Mechas_Bajistas,Rupt_Velas_Alcistas,Rupt_Velas_Bajistas,Iteraciones,Min_Low,Max_High,Precio_Actual,Porcentaje_Alcista,Porcentaje_Bajista,Diferencia_Porcentajes,Total_Swing_Alcistas,Total_Swing_Bajistas,Fecha_Ultimo_Swing_Alcista,Precio_Ultimo_Swing_Alcista,Fecha_Ultimo_Swing_Bajista,Precio_Ultimo_Swing_Bajista,Tendencia_MM,DuracionTrendMM_Close_SMA_200,Tendencia_PullBack,DuracionTrendMM_Close_EMA_20,%K,%D,Duracion_Estocastico,Estocastico_Senal
BTCUSDT,588,"['N/A', 'N/A', 'Doji']",120,9,92.5,"[('Bajista', 44), ('Bajista', 46), ('Bajista', 65)]",2,0,2,0,8,110180.0,116964.27,116536.76,6.81,15.73,8.923810821581096,131,146,2025-09-17 13:59:59.999,114720.81,2025-09-17 17:59:59.999,116990.68,Alcista,44,Alcista,2,70.77188688657473,61.07427634463584,5.0,Neutro
ETHUSDT,588,"['N/A', 'N/A', 'N/A']",114,9,92.11,"[('Bajista', 0), ('Bajista', 242), ('Bajista', 246)]",0,0,0,0,31,4270.81,4769.36,4609.82,7.53,54.19,46.66060713867353,126,137,2025-09-17 13:59:59.999,4412.0,2025-09-17 01:59:59.999,4557.67,Alcista,39,Alcista,2,89.42633696487486,83.03943660932043,2.0,Sobre-compra
BNBUSDT,588,"['N/A', 'N/A', 'N/A']",128,12,90.62,"[('Bajista', 0), ('Bajista', 36), ('Bajista', 63)]",3,0,2,0,8,860.55,959.0,988.55,0.7,39.18,38.48161448586312,134,132,2025-09-17 13:59:59.999,946.1,2025-09-17 17:59:59.999,995.44,Alcista,388,Alcista,12,91.25412541254113,90.58698903031893,10.0,Sobre-compra
NEOUSDT,588,"['N/A', 'N/A', 'N/A']",106,6,94.34,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 140)]",0,0,0,0,15,6.42,6.962,6.759,26.65,30.02,3.3732800710164206,119,114,2025-09-17 13:59:59.999,6.46,2025-09-17 17:59:59.999,6.821,Alcista,2,Alcista,3,83.68421052631595,89.08596167856491,3.0,Sobre-compra
LTCUSDT,588,"['N/A', 'N/A', 'N/A']",101,5,95.05,"[('Bajista', 0), ('Alcista', 207), ('Alcista', 208)]",0,0,0,0,28,110.8,120.83,117.2,14.5,35.01,20.51194539249147,123,129,2025-09-17 13:59:59.999,113.13,2025-09-16 21:59:59.999,115.87,Alcista,3,Alcista,3,90.4347826086957,85.69553073347441,2.0,Sobre-compra
QTUMUSDT,588,"['N/A', 'N/A', 'N/A']",122,11,90.98,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 21)]",0,1,0,0,15,2.39,2.725,2.472,41.14,30.18,10.962783171521036,123,125,2025-09-17 13:59:59.999,2.386,2025-09-17 17:59:59.999,2.486,Bajista,22,Alcista,2,85.99999999999977,92.71428571428562,3.0,Sobre-compra
ADAUSDT,588,"['N/A', 'N/A', 'Doji']",120,11,90.83,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 23)]",0,0,0,0,29,0.818,0.954,0.912,11.77,44.08,32.31359649122807,131,141,2025-09-17 13:59:59.999,0.8608,2025-09-17 17:59:59.999,0.9197,Alcista,3,Alcista,3,88.45577211394313,88.81743338856894,3.0,Sobre-compra
XRPUSDT,588,"['Doji', 'N/A', 'Doji']",129,19,85.27,"[('Bajista', 0), ('Alcista', 23), ('Bajista', 58)]",0,0,0,0,29,2.8092,3.1858,3.086,18.62,38.16,19.53985742060919,127,126,2025-09-17 13:59:59.999,2.9814,2025-09-17 17:59:59.999,3.1079,Alcista,43,Alcista,3,84.7599164926931,77.76610170019255,2.0,Sobre-compra-K
TUSDUSDT,588,"['N/A', 'N/A', 'N/A']",32,1,96.88,"[('Alcista', 0)]",0,0,0,0,40,0.995,0.9977,0.9957,1.34,8.54,7.2009641458270774,80,92,2025-09-17 17:59:59.999,0.995,2025-09-17 13:59:59.999,0.9973,Bajista,9,Bajista,4,25.92592592592684,38.580246913578655,21.0,Neutro
IOTAUSDT,588,"['N/A', 'N/A', 'N/A']",114,4,96.49,"[('Bajista', 0), ('Bajista', 1), ('Bajista', 275)]",0,0,0,0,29,0.1811,0.2038,0.1938,32.51,28.12,4.385964912280695,124,126,2025-09-17 13:59:59.999,0.1844,2025-09-17 17:59:59.999,0.1955,Bajista,1,Alcista,3,84.95575221238933,89.88537984811857,3.0,Sobre-compra
XLMUSDT,588,"['N/A', 'N/A', 'N/A']",130,14,89.23,"[('Bajista', 0), ('Alcista', 23), ('Bajista', 57)]",0,0,0,0,29,0.3554,0.4143,0.3967,31.23,45.35,14.116460801613322,122,135,2025-09-17 13:59:59.999,0.3803,2025-09-17 17:59:59.999,0.3985,Alcista,3,Alcista,3,92.4999999999999,89.78093947606135,3.0,Sobre-compra
ONTUSDT,588,"['N/A', 'N/A', 'N/A']",124,7,94.35,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 21)]",0,0,0,0,25,0.1339,0.1496,0.1416,61.72,25.71,36.01694915254238,124,128,2025-09-17 13:59:59.999,0.135,2025-09-17 17:59:59.999,0.1434,Bajista,23,Alcista,3,79.5454545454546,90.37480063795856,3.0,Sobre-compra-D
TRXUSDT,588,"['N/A', 'N/A', 'N/A']",134,9,93.28,"[('Bajista', 0), ('Bajista', 46), ('Alcista', 143)]",0,0,0,0,30,0.3112,0.3547,0.3434,7.75,24.61,16.860803727431552,118,115,2025-09-17 13:59:59.999,0.3387,2025-09-17 17:59:59.999,0.3447,Bajista,10,Bajista,17,55.29411764705856,45.09803921568607,2.0,Neutro
ETCUSDT,588,"['N/A', 'N/A', 'Doji']",112,5,95.54,"[('Bajista', 0), ('Alcista', 23), ('Bajista', 384)]",0,0,0,0,12,20.1,22.52,20.9,24.07,30.77,6.698564593301416,119,124,2025-09-17 13:59:59.999,20.1,2025-09-17 17:59:59.999,21.03,Bajista,23,Alcista,2,86.02150537634381,83.13303816150103,2.0,Sobre-compra
ICXUSDT,588,"['N/A', 'N/A', 'N/A']",126,9,92.86,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 21)]",0,0,0,0,28,0.1254,0.1381,0.1319,22.29,14.03,8.263836239575452,120,121,2025-09-17 13:59:59.999,0.1267,2025-09-17 17:59:59.999,0.1327,Alcista,3,Alcista,3,88.05970149253699,91.54228855721378,3.0,Sobre-compra
VETUSDT,588,"['N/A', 'N/A', 'Estrella_Fug']",117,6,94.87,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 349)]",0,0,0,0,28,0.02328,0.02595,0.02518,17.36,27.72,10.365369340746625,113,131,2025-09-17 13:59:59.999,0.02391,2025-09-17 17:59:59.999,0.02549,Alcista,3,Alcista,3,81.65680473372791,89.40345368916805,3.0,Sobre-compra
USDCUSDT,588,"['N/A', 'N/A', 'N/A']",5,0,100.0,[],0,0,0,0,33,0.9987,1.0,0.9994,0.11,0.07,0.0400240144086519,42,37,2025-09-16 13:59:59.999,0.9993,2025-09-16 09:59:59.999,0.9998,Bajista,46,Bajista,4,19.99999999999556,26.666666666668135,1.0,Sobre-venta-K
LINKUSDT,588,"['N/A', 'N/A', 'N/A']",125,13,89.6,"[('Bajista', 0), ('Bajista', 1), ('Bajista', 239)]",0,0,0,0,29,22.12,25.64,23.95,16.37,54.32,37.95407098121085,124,131,2025-09-17 09:59:59.999,22.75,2025-09-17 17:59:59.999,24.24,Alcista,2,Alcista,2,80.53691275167789,75.41946308724829,2.0,Sobre-compra-K
ONGUSDT,588,"['N/A', 'N/A', 'N/A']",120,5,95.83,"[('Bajista', 0), ('Bajista', 1), ('Alcista', 131)]",0,0,0,0,15,0.1628,0.1745,0.1695,36.93,12.74,24.18879056047197,128,121,2025-09-17 13:59:59.999,0.1636,2025-09-17 17:59:59.999,0.171,Bajista,24,Alcista,3,80.0,89.70383275261311,3.0,Sobre-compra-D
